Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,99.330002,100.389999,98.730003,99.879997,93.892059,338100
2019-08-20,99.860001,101.209999,99.400002,100.440002,94.418503,279000
2019-08-21,100.699997,100.959999,99.660004,100.110001,94.108284,366200
2019-08-22,100.080002,101.379997,100.080002,100.360001,94.343292,331300
2019-08-23,101.199997,101.860001,100.019997,100.230003,94.221085,497100
2019-08-26,100.980003,102.550003,100.980003,101.980003,95.866188,428900
2019-08-27,102.610001,103.599998,102.379997,102.639999,96.486618,551400
2019-08-28,102.690002,103.430000,102.250000,103.230003,97.041229,277800
2019-08-29,103.889999,104.730003,103.519997,104.389999,98.131683,333600
2019-08-30,104.970001,105.519997,104.050003,104.410004,98.150505,428700
2019-09-03,104.949997,105.930000,102.160004,102.309998,96.176384,531800
2019-09-04,100.660004,100.660004,98.870003,99.190002,93.243439,835100
2019-09-05,99.540001,99.680000,97.379997,99.320000,93.365639,724100
2019-09-06,99.480003,99.980003,98.900002,99.620003,93.647659,603300
2019-09-09,99.690002,100.099998,98.430000,98.589996,92.679405,796400
2019-09-10,98.110001,98.110001,94.400002,94.470001,88.806404,984100
2019-09-11,94.639999,96.230003,94.089996,95.260002,89.549049,683500
2019-09-12,95.550003,97.220001,95.550003,96.870003,91.062531,800300
2019-09-13,97.099998,97.660004,96.309998,96.419998,90.639503,713000
2019-09-16,95.650002,95.959999,94.519997,94.660004,89.602066,550700
2019-09-17,95.260002,97.959999,95.260002,97.879997,92.650017,609700
2019-09-18,98.110001,98.400002,96.430000,97.269997,92.072594,630900
2019-09-19,97.529999,98.410004,96.779999,98.040001,92.801460,609100
2019-09-20,98.260002,99.209999,96.099998,96.459999,91.305870,3622600
2019-09-23,96.290001,97.339996,96.160004,96.199997,91.059776,390900
2019-09-24,96.739998,97.190002,95.769997,95.970001,90.842072,491000
2019-09-25,96.150002,96.800003,94.870003,95.080002,89.999619,660900
2019-09-26,95.139999,95.580002,94.000000,94.379997,89.337021,676800
2019-09-27,94.669998,95.339996,92.220001,92.589996,87.642662,717700
2019-09-30,93.500000,94.309998,92.949997,94.199997,89.166641,621600
2019-10-01,94.620003,95.320000,93.150002,93.629997,88.627098,561300
2019-10-02,93.629997,94.320000,92.760002,94.129997,89.100380,531900
2019-10-03,94.339996,95.470001,94.019997,95.209999,90.122688,469200
2019-10-04,95.250000,95.720001,94.830002,95.290001,90.198402,333600
2019-10-07,95.000000,95.650002,94.059998,94.110001,89.081459,350100
2019-10-08,94.080002,94.510002,93.209999,93.620003,88.617645,542900
2019-10-09,93.610001,95.290001,93.599998,94.860001,89.791374,374100
2019-10-10,94.559998,95.650002,94.430000,94.690002,89.630463,356100
2019-10-11,94.800003,95.220001,93.690002,93.790001,88.778557,332500
2019-10-15,92.959999,93.570000,91.480003,91.620003,86.724495,823400
2019-10-16,91.809998,92.029999,90.970001,92.029999,87.112595,478600
2019-10-17,92.000000,92.120003,90.709999,91.230003,86.355331,400800
2019-10-18,91.779999,91.779999,90.620003,90.720001,85.872597,366500
2019-10-21,91.110001,91.169998,90.180000,90.709999,85.863113,353800
2019-10-22,90.570000,90.989998,88.220001,88.449997,83.723877,725000
2019-10-23,88.500000,88.959999,87.489998,88.779999,84.036247,451900
2019-10-24,88.940002,90.739998,88.940002,90.080002,85.266792,427200
2019-10-25,90.089996,91.260002,88.680000,89.290001,84.518990,529100
2019-10-28,87.489998,89.070000,85.639999,86.029999,81.433189,889800
2019-10-29,85.989998,86.180000,84.320000,85.089996,80.543411,997700
2019-10-30,84.989998,86.389999,84.089996,86.230003,81.622513,598200
